Task,Model,Version,Prompt,Itr1,Itr2,Itr3,Itr4,Itr5,Itr6,Itr7,Itr8,Itr9,Itr10
generative_1,codellama,base,zero,6.06,5.52,5.5,5.49,5.48,5.7,5.59,5.57,5.56,5.56
generative_1,codellama,base,one,5.71,5.6,5.65,5.64,6.41,5.67,5.69,5.64,5.69,5.68
generative_1,codellama,finetuned,zero,6.23,5.54,5.53,5.54,5.55,5.6,5.55,5.55,5.6,5.58
generative_1,codellama,finetuned,one,6.35,5.62,5.64,5.61,5.7,5.69,5.67,5.68,5.7,5.66
generative_2,codellama,base,zero,27.14,26.97,27.13,28.01,27.42,27.43,26.74,26.71,26.78,26.73
generative_2,codellama,base,one,5.08,5.09,5.76,5.15,5.14,5.15,4.98,5.03,4.99,5.1
generative_2,codellama,finetuned,zero,27.03,27.07,26.89,27.49,27.53,29.06,26.78,26.84,26.84,26.82
generative_2,codellama,finetuned,one,5.09,5.06,5.09,5.16,5.13,5.03,5.05,5.01,5.0,5.0
generative_3,codellama,base,zero,24.44,25.16,24.36,24.94,25.76,26.3,24.32,24.52,24.31,24.68
generative_3,codellama,base,one,53.61,53.75,51.89,53.57,53.54,52.23,52.17,52.23,53.6,52.82
generative_3,codellama,finetuned,zero,25.14,25.65,24.35,25.03,24.65,24.33,24.43,25.38,24.68,24.66
generative_3,codellama,finetuned,one,53.61,53.47,53.32,53.67,53.61,52.13,52.34,53.41,52.84,52.81
generative_4,codellama,base,zero,26.58,26.65,26.66,26.41,26.82,26.74,26.78,26.59,27.66,26.45
generative_4,codellama,base,one,20.22,20.15,20.17,20.03,20.17,20.23,20.24,20.29,19.9,20.03
generative_4,codellama,finetuned,zero,26.6,26.71,27.13,27.22,26.73,26.7,26.66,26.67,27.13,26.5
generative_4,codellama,finetuned,one,20.27,21.67,19.97,20.21,20.21,20.2,20.2,21.03,21.04,21.96
generative_5,codellama,base,zero,47.51,47.64,49.19,46.99,46.98,49.35,48.9,46.6,48.55,47.17
generative_5,codellama,base,one,32.84,32.85,32.97,32.37,32.54,33.1,32.59,32.32,32.61,32.58
generative_5,codellama,finetuned,zero,47.67,47.42,47.15,47.12,46.9,46.81,47.57,46.62,47.04,47.12
generative_5,codellama,finetuned,one,32.82,32.67,32.52,32.38,32.57,33.18,32.23,32.25,32.61,33.25
generative_1,llamachat,base,zero,8.83,8.71,6.81,6.74,6.72,7.75,6.81,8.91,7.88,7.63
generative_1,llamachat,base,one,6.15,5.79,5.07,12.15,5.07,5.91,5.78,5.31,5.11,5.77
generative_1,llamachat,finetuned,zero,9.05,10.53,8.91,7.78,10.72,8.04,7.99,10.58,8.89,9.11
generative_1,llamachat,finetuned,one,5.75,5.11,5.61,5.87,5.53,5.97,5.99,5.77,4.9,4.79
generative_2,llamachat,base,zero,21.14,86.18,5.6,7.41,11.54,6.31,5.61,32.0,11.49,7.44
generative_2,llamachat,base,one,12.58,13.36,13.16,12.78,12.75,12.5,13.21,12.59,12.61,12.54
generative_2,llamachat,finetuned,zero,10.62,8.17,30.49,22.4,22.67,9.04,8.08,20.65,10.98,19.72
generative_2,llamachat,finetuned,one,12.78,22.11,12.85,12.71,11.05,12.46,87.85,12.75,35.3,13.25
generative_3,llamachat,base,zero,27.0,46.0,28.53,12.22,26.33,16.29,20.4,11.08,23.76,25.0
generative_3,llamachat,base,one,15.9,15.93,15.91,15.91,15.9,17.24,16.02,15.94,15.95,15.89
generative_3,llamachat,finetuned,zero,22.5,59.99,7.39,32.95,14.78,14.84,37.81,23.85,14.17,34.09
generative_3,llamachat,finetuned,one,15.87,16.0,15.85,16.06,17.65,16.83,16.09,15.98,16.79,15.92
generative_4,llamachat,base,zero,28.79,38.49,22.68,25.41,34.66,36.45,37.14,44.89,12.89,14.65
generative_4,llamachat,base,one,18.67,16.03,19.73,16.31,25.04,19.91,36.68,18.74,19.74,19.19
generative_4,llamachat,finetuned,zero,23.64,32.58,36.74,67.98,36.89,11.87,38.97,17.43,42.38,36.2
generative_4,llamachat,finetuned,one,36.27,19.93,16.25,24.43,15.89,18.4,15.94,19.52,18.19,19.75
generative_5,llamachat,base,zero,13.36,35.6,28.8,29.45,87.94,21.87,22.7,13.35,48.98,90.58
generative_5,llamachat,base,one,87.69,21.73,31.08,22.41,7.13,21.79,27.99,6.95,24.67,7.02
