Task,Model,Version,Prompt,Itr1,Itr2,Itr3,Itr4,Itr5,Itr6,Itr7,Itr8,Itr9,Itr10
generative_1,codellama,base,zero,7.07,6.53,6.56,6.59,7.65,6.66,6.75,6.65,6.69,6.67
generative_1,codellama,base,one,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
generative_1,codellama,finetuned,zero,6.54,6.65,6.56,6.57,6.67,6.68,6.65,6.67,6.65,6.68
generative_1,codellama,finetuned,one,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
generative_2,codellama,base,zero,21.65,21.7,21.34,21.22,21.4,21.33,21.36,21.36,21.27,21.17
generative_2,codellama,base,one,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
generative_2,codellama,finetuned,zero,21.7,21.61,21.3,21.34,21.28,21.36,21.31,21.92,21.24,21.26
generative_2,codellama,finetuned,one,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
generative_3,codellama,base,zero,26.91,26.17,27.39,26.17,26.36,26.31,27.4,26.64,26.63,28.65
generative_3,codellama,base,one,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
generative_3,codellama,finetuned,zero,26.1,27.34,26.1,26.19,26.98,27.46,26.7,26.65,26.69,27.07
generative_3,codellama,finetuned,one,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21
generative_4,codellama,base,zero,34.61,34.02,34.1,33.85,34.02,34.9,34.53,33.59,34.14,34.22
generative_4,codellama,base,one,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22
generative_4,codellama,finetuned,zero,34.08,34.07,34.62,34.66,33.87,34.01,33.65,34.68,34.13,34.16
generative_4,codellama,finetuned,one,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
generative_5,codellama,base,zero,25.86,26.15,26.17,26.21,26.63,25.72,25.66,25.75,25.71,25.7
generative_5,codellama,base,one,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22
generative_5,codellama,finetuned,zero,26.89,26.27,26.24,27.08,25.59,25.74,25.75,25.58,25.69,25.66
generative_5,codellama,finetuned,one,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22
generative_1,llamachat,base,zero,10.14,6.97,14.76,8.15,8.76,6.96,308.32,7.18,8.76,6.66
generative_1,llamachat,base,one,0.22,0.22,5.2,0.22,3.76,0.21,0.22,3.51,0.22,0.21
generative_1,llamachat,finetuned,zero,13.7,6.93,10.2,8.28,7.18,38.03,7.08,19.84,7.44,7.69
generative_1,llamachat,finetuned,one,0.21,0.22,0.22,4.17,0.22,0.22,4.37,3.7,0.21,0.21
